step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,98.09027778,565,97.22222222,560,99.30555556,572,99.30555556,572,65.79861111,379,46.70138889,269
25375,6.46972252,6.141450789,6.146997687,6.130852921,6.249072039,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25400,6.464428111,5.946428185,5.947352193,6.147108233,6.165658166,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25425,6.398041712,6.155444437,6.092760322,6.163131363,6.130902901,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25450,6.482229432,6.130330091,6.50984743,6.318402573,6.233878632,,,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE
25475,6.435850325,5.973795719,6.246873731,6.258590369,6.171773171,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25500,6.69316997,6.163655342,6.206522487,6.287728108,6.19134739,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25525,6.654878207,6.145316613,6.354235321,6.160935123,6.250800063,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25550,6.599793221,6.135277351,6.125650273,6.282202425,6.295117892,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25575,6.522176243,6.099010157,6.150419126,6.124749732,6.144919339,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25600,6.552883144,6.037586176,6.314762244,6.164762407,6.102261891,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25625,6.559931708,6.078877375,6.196843475,6.397154416,6.209812758,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25650,6.458008656,6.081109672,6.141757892,6.315320715,6.114435221,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25675,6.376949033,5.940722493,6.188311487,6.156256668,5.932340534,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25700,6.267222627,5.960765063,6.001133999,6.173802996,5.983618692,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25725,6.288037532,5.933396503,6.111679157,6.059654944,6.047438984,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25750,6.353943189,6.117957116,6.141445302,6.096329997,6.021519133,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25775,6.43118817,6.105474713,5.861867514,5.923940087,6.134390085,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25800,6.503153973,6.094103252,5.831087267,5.897304554,6.112553796,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25825,6.362966908,6.094376129,6.145132002,5.973297339,6.216182896,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
