step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,89.58333333,516,87.5,504,89.93055556,518,91.66666667,528
25350,50061505.83,51943658.56,50419167.39,49848021.29,52177965.56,,,,TRUE,,TRUE,,FALSE,,TRUE
25375,48529788,51902506.05,50630685.82,52005142.03,52542648.66,,,,TRUE,,TRUE,,TRUE,,TRUE
25400,48661239.41,52275747.14,51574177.99,50784657.94,51708219.7,,,,TRUE,,TRUE,,TRUE,,TRUE
25425,50278048.46,51969756.51,52526318.01,52244061.68,53019770.45,,,,TRUE,,TRUE,,TRUE,,TRUE
25450,51992716.48,53599587.7,55791974.67,52846923.03,54047380.76,,,,TRUE,,TRUE,,TRUE,,TRUE
25475,54069503.85,51802871.72,54067439.23,54377561.81,53127705.14,,,,FALSE,,FALSE,,TRUE,,FALSE
25500,54856790.42,55344259.69,54632850.45,54336544.81,53865386.45,,,,TRUE,,FALSE,,FALSE,,FALSE
25525,54374038.21,55735838.87,55941200.41,56136273.6,56047012.46,,,,TRUE,,TRUE,,TRUE,,TRUE
25550,55375131.26,55262738.28,54067745.28,53218948.2,57736280.66,,,,FALSE,,FALSE,,FALSE,,TRUE
25575,54189622.67,55989876.49,55892278.3,54676970.91,54791813.17,,,,TRUE,,TRUE,,TRUE,,TRUE
25600,55496759.17,55974363.58,55590631.32,56487223.19,55914169.25,,,,TRUE,,TRUE,,TRUE,,TRUE
25625,53605356.71,58248211.94,56217924.6,56624179.32,57074282.55,,,,TRUE,,TRUE,,TRUE,,TRUE
25650,55237587.07,60475301.34,58045188.24,57354295.53,55621872.25,,,,TRUE,,TRUE,,TRUE,,TRUE
25675,55426808.04,57322450.08,56089725.88,56943621.24,54996583.27,,,,TRUE,,TRUE,,TRUE,,FALSE
25700,54157901.64,56501958.45,56645358.71,58735492.13,57112025.1,,,,TRUE,,TRUE,,TRUE,,TRUE
25725,54850629.44,57604418.28,57361600.7,56413136.98,57039792.11,,,,TRUE,,TRUE,,TRUE,,TRUE
25750,55887773.18,58129458.49,59263415.85,57264052.56,57205763.74,,,,TRUE,,TRUE,,TRUE,,TRUE
